loan_status,loan_amnt,term,int_rate,installment,sub_grade,emp_length,annual_inc,purpose,dti,delinq_2yrs,inq_last_6mths,open_acc,revol_bal,revol_util,total_acc,fico_score,fico_class,home_ownership_MORTGAGE,home_ownership_RENT,verif_stat,year_issue,month_issue,year_ecl,month_ecl,geo_loc,geo_loc_ns,geo_loc_we
1,5000.0,36,10.65,162.87,2,10.0,24000.0,1,27.65,0.0,1.0,3.0,13648.0,83.7,76.0,737,1,0,1,3,2011,12,3,1,4,2,2
1,2400.0,36,15.96,84.33,3,10.0,12252.0,4,8.72,0.0,2.0,2.0,2956.0,98.5,76.0,737,1,0,1,1,2011,12,1,11,1,1,1
1,10000.0,36,13.49,339.31,3,10.0,49200.0,4,20.0,0.0,1.0,10.0,5598.0,21.0,76.0,692,1,0,1,2,2011,12,2,2,4,2,2
1,3000.0,60,12.69,67.79,2,1.0,80000.0,4,17.94,0.0,0.0,15.0,27783.0,53.9,76.0,697,1,0,1,2,2011,12,2,1,2,1,2
1,5000.0,36,7.9,156.46,1,3.0,36000.0,4,11.2,0.0,3.0,9.0,7963.0,28.3,76.0,732,1,0,1,2,2011,12,1,11,4,2,2
1,7000.0,60,15.96,170.08,3,8.0,47004.0,1,23.51,0.0,1.0,7.0,17726.0,85.6,76.0,692,1,0,1,1,2011,12,1,7,3,2,1
1,3000.0,36,18.64,109.43,5,9.0,48000.0,3,5.35,0.0,2.0,4.0,8221.0,87.5,76.0,662,0,0,1,2,2011,12,1,1,4,2,2
0,5375.0,60,12.69,121.45,2,0.0,15000.0,4,18.08,0.0,0.0,2.0,9279.0,36.5,76.0,727,1,0,1,3,2011,12,1,9,4,2,2
0,9000.0,36,13.49,305.38,3,0.0,30000.0,1,10.08,0.0,1.0,4.0,10452.0,91.7,76.0,712,1,0,1,2,2011,12,1,4,1,1,1
1,3000.0,36,9.91,96.68,2,3.0,15000.0,1,12.56,0.0,2.0,11.0,7323.0,43.1,76.0,707,1,0,1,2,2011,12,1,7,1,1,1
0,10000.0,36,10.65,325.74,2,3.0,100000.0,4,7.06,0.0,2.0,14.0,11997.0,55.5,76.0,722,1,0,1,2,2011,12,2,5,4,2,2
1,1000.0,36,16.29,35.31,4,0.0,28000.0,1,20.31,0.0,1.0,11.0,6524.0,81.5,76.0,667,0,0,1,1,2011,12,1,9,1,1,1
1,10000.0,36,15.27,347.98,3,4.0,42000.0,2,18.6,0.0,2.0,14.0,24043.0,70.2,76.0,672,1,0,1,1,2011,12,2,10,4,2,2
1,3600.0,36,6.03,109.57,1,10.0,110000.0,4,10.52,0.0,0.0,20.0,22836.0,16.0,76.0,762,2,1,0,1,2011,12,2,8,1,1,1
1,9200.0,36,6.03,280.01,1,6.0,77385.19,1,9.86,0.0,0.0,8.0,7314.0,23.1,76.0,757,2,0,1,1,2011,12,1,1,4,2,2
1,20250.0,60,15.27,484.63,3,3.0,43370.0,1,26.53,0.0,3.0,8.0,17813.0,85.6,76.0,727,1,0,1,3,2011,12,2,11,4,2,2
0,21000.0,36,12.42,701.73,2,10.0,105000.0,1,13.22,0.0,0.0,7.0,32135.0,90.3,76.0,707,1,0,1,3,2011,12,3,2,3,2,1
1,10000.0,36,11.71,330.76,2,5.0,50000.0,1,16.01,0.0,0.0,6.0,17800.0,91.8,76.0,712,1,0,1,1,2011,12,1,4,4,2,2
0,6000.0,36,11.71,198.46,2,1.0,76000.0,4,2.4,0.0,1.0,7.0,5963.0,29.7,76.0,692,1,0,1,1,2011,12,1,6,4,2,2
1,15000.0,36,9.91,483.38,2,2.0,92000.0,1,29.44,0.0,0.0,8.0,13707.0,93.9,76.0,732,1,1,0,3,2011,12,1,2,1,1,1
0,15000.0,36,14.27,514.64,3,9.0,60000.0,1,15.22,0.0,1.0,7.0,5872.0,57.6,76.0,697,1,0,1,1,2011,12,1,10,1,1,1
1,4000.0,36,11.71,132.31,2,10.0,106000.0,1,5.63,1.0,0.0,12.0,6110.0,37.7,76.0,682,1,1,0,1,2011,12,3,8,3,2,1
1,8500.0,36,11.71,281.15,2,0.0,25000.0,1,12.19,0.0,0.0,8.0,6441.0,59.1,76.0,697,1,0,1,2,2011,12,1,11,1,1,1
1,4375.0,36,7.51,136.11,1,7.0,17108.0,1,20.34,0.0,0.0,6.0,11210.0,86.9,76.0,737,1,1,0,2,2011,12,3,12,1,1,1
1,10000.0,60,15.96,242.97,3,2.0,29120.0,1,22.83,0.0,1.0,11.0,16158.0,63.6,76.0,692,1,0,1,3,2011,12,2,2,3,2,1
1,5000.0,36,8.9,158.77,1,2.0,24044.0,1,11.93,0.0,0.0,8.0,2224.0,29.3,76.0,702,1,0,1,3,2011,12,1,4,2,1,2
1,7000.0,36,15.96,245.97,3,7.0,34000.0,1,6.35,0.0,1.0,6.0,6113.0,60.5,76.0,677,1,0,1,2,2011,12,1,10,4,2,2
1,12400.0,36,10.65,403.91,2,10.0,41000.0,1,11.8,0.0,2.0,9.0,11095.0,57.2,76.0,722,1,0,1,1,2011,12,1,7,1,1,1
1,10800.0,36,9.91,348.03,2,2.0,55596.0,2,5.5,0.0,0.0,7.0,2535.0,13.3,76.0,707,1,0,1,2,2011,12,1,12,4,2,2
1,15000.0,36,7.9,469.36,1,1.0,45000.0,1,8.48,0.0,0.0,7.0,6704.0,50.4,76.0,732,1,0,1,3,2011,12,1,11,1,1,1
1,6000.0,36,12.42,200.5,2,1.0,36852.0,1,10.62,0.0,1.0,7.0,7310.0,66.5,76.0,697,1,0,1,2,2011,12,1,4,4,2,2
1,12500.0,60,12.69,282.44,2,1.0,27000.0,1,16.04,0.0,3.0,6.0,10143.0,50.0,76.0,737,1,0,1,3,2011,12,1,12,1,1,1
1,9600.0,36,7.51,298.67,1,4.0,68004.0,4,6.63,0.0,0.0,6.0,2896.0,18.1,76.0,762,2,0,1,2,2011,12,1,1,3,2,1
1,12000.0,36,7.9,375.49,1,10.0,62300.0,1,16.7,0.0,0.0,15.0,8601.0,21.0,76.0,727,1,0,1,1,2011,12,2,3,1,1,1
1,3000.0,36,18.25,108.84,4,9.0,65000.0,4,17.39,0.0,0.0,8.0,43936.0,98.1,76.0,672,1,1,0,1,2011,12,2,9,1,1,1
1,4400.0,36,16.77,156.37,4,10.0,55000.0,1,20.01,0.0,0.0,7.0,25237.0,99.0,76.0,692,1,0,1,1,2011,12,1,6,1,1,1
1,6000.0,36,6.03,182.62,1,10.0,45600.0,1,5.34,0.0,1.0,6.0,3378.0,32.5,76.0,792,2,1,0,1,2011,12,2,11,3,2,1
1,14000.0,36,9.91,451.15,2,6.0,80000.0,4,10.0,0.0,1.0,7.0,2219.0,13.4,76.0,727,1,0,1,1,2011,12,2,7,1,1,1
1,10000.0,36,10.65,325.74,2,6.0,27000.0,4,11.47,0.0,0.0,7.0,7814.0,52.3,76.0,702,1,0,1,3,2011,12,1,11,1,1,1
1,10000.0,36,6.03,304.36,1,10.0,60000.0,1,12.74,0.0,1.0,11.0,14019.0,19.5,76.0,792,2,0,1,1,2011,12,2,9,1,1,1
1,11000.0,36,6.62,337.75,1,5.0,70000.0,1,10.85,0.0,0.0,5.0,11638.0,36.4,76.0,752,2,0,1,1,2011,12,1,1,1,1,1
0,15000.0,36,9.91,483.38,2,8.0,80000.0,1,9.12,0.0,2.0,9.0,11845.0,63.7,76.0,732,1,1,0,1,2011,12,2,4,1,1,1
1,25600.0,36,9.91,824.96,2,9.0,110000.0,1,15.71,0.0,0.0,11.0,26088.0,62.0,76.0,727,1,0,1,3,2011,12,2,7,4,2,2
1,7000.0,36,10.65,228.02,2,0.0,40000.0,1,7.38,0.0,0.0,7.0,12168.0,92.9,76.0,702,1,0,1,1,2011,12,1,4,4,2,2
0,12000.0,36,15.96,421.65,3,4.0,50000.0,3,20.88,0.0,2.0,11.0,15793.0,90.8,76.0,677,1,0,1,1,2011,12,1,10,4,2,2
1,12000.0,36,9.91,386.7,2,1.0,46000.0,1,8.11,0.0,1.0,11.0,12143.0,52.1,76.0,732,1,0,1,1,2011,12,1,5,4,2,2
0,21000.0,60,19.91,555.33,5,7.0,50000.0,1,21.58,0.0,1.0,7.0,19448.0,97.6,76.0,682,1,0,1,3,2011,12,2,9,2,1,2
1,16000.0,60,19.91,423.11,5,7.0,81000.0,1,20.52,0.0,3.0,12.0,27884.0,75.1,76.0,667,0,0,1,3,2011,12,2,12,1,1,1
1,10000.0,36,10.65,325.74,2,2.0,51400.0,1,19.14,0.0,3.0,10.0,10160.0,59.1,76.0,717,1,0,1,1,2011,12,1,10,4,2,2
1,7100.0,36,16.77,252.33,4,1.0,33000.0,1,24.0,0.0,2.0,4.0,6021.0,91.2,76.0,682,1,1,0,3,2011,12,1,4,4,2,2
1,13000.0,60,12.69,293.74,2,0.0,30000.0,1,13.72,0.0,0.0,17.0,17080.0,58.9,76.0,732,1,1,0,2,2011,12,1,5,1,1,1
1,17500.0,60,17.27,223.74,4,6.0,40000.0,4,19.47,0.0,1.0,5.0,10724.0,58.9,76.0,707,1,0,1,3,2011,12,1,5,4,2,2
1,17675.0,60,14.65,417.25,3,0.0,50000.0,1,16.46,0.0,2.0,6.0,6661.0,57.4,76.0,722,1,0,1,2,2011,12,1,7,1,1,1
1,8000.0,36,16.77,284.31,4,0.0,62000.0,1,21.64,0.0,3.0,14.0,6088.0,66.9,76.0,662,0,0,1,1,2011,12,1,7,1,1,1
0,10000.0,60,10.65,215.69,2,10.0,45996.0,1,21.73,0.0,1.0,7.0,11170.0,30.1,76.0,757,2,0,1,3,2011,12,2,5,1,1,1
1,3500.0,36,10.65,114.01,2,7.0,55000.0,1,5.39,0.0,1.0,9.0,6611.0,45.9,76.0,702,1,1,0,1,2011,12,1,10,1,1,1
1,16425.0,36,14.27,563.53,3,4.0,44544.0,1,22.71,0.0,1.0,10.0,15747.0,83.4,76.0,697,1,0,1,2,2011,12,1,10,4,2,2
0,8200.0,60,21.28,223.14,6,4.0,75000.0,4,12.48,0.0,3.0,6.0,9012.0,73.9,76.0,677,1,0,1,2,2011,12,1,1,4,2,2
0,6400.0,36,16.77,227.45,4,5.0,75000.0,1,20.22,0.0,0.0,9.0,7159.0,67.5,76.0,662,0,0,1,1,2011,12,2,12,4,2,2
1,3000.0,36,13.49,101.8,3,1.0,33600.0,1,18.11,0.0,0.0,4.0,2745.0,83.2,76.0,672,1,0,1,1,2011,12,1,10,3,2,1
1,12000.0,36,16.77,426.47,4,3.0,50000.0,1,20.57,0.0,1.0,13.0,11443.0,97.0,76.0,677,1,0,1,1,2011,12,1,9,1,1,1
1,12000.0,36,14.65,413.94,3,10.0,90000.0,1,16.56,0.0,2.0,12.0,17116.0,78.5,76.0,677,1,0,1,1,2011,12,3,12,1,1,1
1,11000.0,36,13.49,373.24,3,10.0,48000.0,1,21.82,0.0,3.0,15.0,11382.0,65.0,76.0,692,1,1,0,3,2011,12,2,12,4,2,2
1,15000.0,36,7.9,469.36,1,1.0,52000.0,4,9.65,0.0,1.0,11.0,1616.0,6.7,76.0,767,2,1,0,1,2011,12,1,11,4,2,2
1,18000.0,60,19.91,475.99,5,10.0,65000.0,1,6.81,0.0,0.0,10.0,11745.0,77.8,76.0,662,0,1,0,1,2011,12,3,6,3,2,1
1,10000.0,36,14.27,343.09,3,2.0,68000.0,1,15.39,0.0,1.0,9.0,11303.0,81.3,76.0,682,1,0,1,2,2011,12,1,7,1,1,1
1,11800.0,36,12.69,395.83,2,6.0,42000.0,1,9.86,0.0,0.0,4.0,8940.0,74.8,76.0,692,1,0,1,2,2011,12,2,10,1,1,1
1,4500.0,36,6.03,136.96,1,4.0,53000.0,4,4.44,0.0,0.0,7.0,8630.0,13.9,76.0,762,2,0,1,2,2011,12,1,10,4,2,2
1,7000.0,36,12.69,234.82,2,10.0,35000.0,1,11.35,0.0,2.0,10.0,7649.0,82.3,76.0,682,1,0,1,2,2011,12,1,5,4,2,2
1,9200.0,36,12.42,307.43,2,2.0,60000.0,1,19.96,0.0,3.0,8.0,23299.0,78.7,76.0,702,1,0,1,2,2011,12,1,10,4,2,2
1,14000.0,60,17.27,349.98,4,4.0,28000.0,4,6.34,0.0,2.0,5.0,6986.0,79.4,76.0,702,1,0,1,3,2011,12,1,7,2,1,2
1,4500.0,60,10.65,97.06,2,0.0,42000.0,3,5.4,0.0,0.0,4.0,8220.0,78.3,76.0,752,2,1,0,2,2011,12,3,2,4,2,2
1,12000.0,36,16.29,423.61,4,9.0,88365.0,1,16.85,0.0,0.0,6.0,22936.0,96.4,76.0,682,1,0,1,3,2011,12,2,10,4,2,2
1,12000.0,36,13.49,407.17,3,4.0,72000.0,1,21.33,0.0,1.0,11.0,3419.0,27.6,76.0,687,1,0,1,2,2011,12,1,5,4,2,2
1,12000.0,36,10.65,390.88,2,0.0,62000.0,1,23.94,0.0,0.0,10.0,20310.0,78.4,76.0,702,1,0,1,3,2011,12,1,6,4,2,2
1,7000.0,36,10.65,228.02,2,3.0,43680.0,1,5.38,0.0,0.0,7.0,6245.0,78.1,76.0,687,1,1,0,1,2011,12,1,10,1,1,1
1,8200.0,60,19.42,214.62,5,3.0,120000.0,1,2.8,0.0,2.0,5.0,10392.0,88.4,76.0,687,1,0,1,2,2011,12,1,6,1,1,1
1,10500.0,36,12.69,352.23,2,10.0,66000.0,4,20.73,1.0,2.0,8.0,5790.0,51.2,76.0,697,1,0,1,3,2011,12,2,9,4,2,2
1,15300.0,60,22.06,423.1,6,6.0,85000.0,1,20.58,0.0,2.0,14.0,26524.0,89.7,76.0,672,1,0,1,3,2011,12,3,2,1,1,1
1,20000.0,60,11.71,282.86,2,4.0,47800.0,1,10.04,0.0,0.0,15.0,16447.0,46.3,76.0,742,2,1,0,3,2011,12,1,11,1,1,1
0,17500.0,60,17.27,437.47,4,7.0,45000.0,1,21.31,0.0,2.0,13.0,20129.0,86.1,76.0,702,1,1,0,1,2011,12,1,9,2,1,2
1,3500.0,36,6.03,106.53,1,10.0,83000.0,3,2.31,0.0,0.0,6.0,3092.0,13.4,76.0,747,2,1,0,3,2011,12,3,1,1,1,1
1,6000.0,60,12.69,135.57,2,0.0,81000.0,4,13.66,1.0,0.0,6.0,15102.0,50.0,76.0,697,1,0,1,2,2011,12,1,11,2,1,2
0,6200.0,36,9.91,199.8,2,2.0,25000.0,1,20.64,0.0,2.0,7.0,6533.0,47.7,76.0,712,1,0,1,1,2011,12,2,5,4,2,2
1,16000.0,60,17.58,402.65,4,7.0,65000.0,1,15.56,0.0,0.0,8.0,21166.0,87.1,76.0,697,1,0,1,1,2011,12,2,10,2,1,2
1,7200.0,36,9.91,232.02,2,6.0,135000.0,1,6.12,0.0,0.0,7.0,16627.0,79.6,76.0,697,1,0,1,1,2011,12,2,1,1,1,1
1,9500.0,36,8.9,301.66,1,7.0,50000.0,1,8.18,0.0,0.0,8.0,13422.0,60.5,76.0,722,1,1,0,1,2011,12,1,6,4,2,2
0,18825.0,60,16.77,465.53,4,10.0,38000.0,1,23.18,0.0,0.0,6.0,11004.0,79.7,76.0,702,1,0,1,3,2011,12,1,12,4,2,2
1,24000.0,36,10.65,781.76,2,10.0,45000.0,1,14.8,0.0,0.0,5.0,24708.0,55.2,76.0,727,1,0,1,3,2011,12,2,2,4,2,2
1,6000.0,36,13.49,203.59,3,10.0,80000.0,1,11.58,0.0,0.0,8.0,15499.0,83.8,76.0,667,0,0,1,1,2011,12,1,2,4,2,2
1,6000.0,36,13.49,203.59,3,5.0,50000.0,1,15.38,0.0,1.0,6.0,15191.0,91.5,76.0,692,1,0,1,1,2011,12,1,3,4,2,2
1,2100.0,36,12.42,70.18,2,10.0,30000.0,3,19.72,0.0,1.0,12.0,12183.0,82.9,76.0,692,1,1,0,1,2011,12,2,7,3,2,1
1,5500.0,36,6.62,168.88,1,8.0,110000.0,4,9.69,0.0,0.0,7.0,14136.0,21.9,76.0,742,2,1,0,3,2011,12,2,8,1,1,1
1,26800.0,60,20.89,723.38,6,3.0,120000.0,1,12.15,0.0,0.0,13.0,14772.0,48.0,76.0,682,1,1,0,3,2011,12,1,5,3,2,1
1,8000.0,36,12.69,268.36,2,5.0,35000.0,1,10.05,0.0,0.0,7.0,6842.0,97.7,76.0,707,1,1,0,1,2011,12,1,10,1,1,1
0,10000.0,36,18.25,362.78,4,1.0,75000.0,1,24.14,0.0,0.0,9.0,22828.0,96.3,76.0,667,0,0,1,2,2011,12,2,3,4,2,2
1,8000.0,36,11.71,264.61,2,9.0,35000.0,1,9.7,0.0,0.0,7.0,6142.0,46.5,76.0,692,1,1,0,3,2011,12,1,4,2,1,2
1,10000.0,36,8.9,317.54,1,6.0,24000.0,1,7.0,0.0,0.0,6.0,6734.0,49.5,76.0,712,1,0,1,3,2011,12,1,1,4,2,2
1,12000.0,36,11.71,396.92,2,2.0,126000.0,1,13.32,0.0,0.0,17.0,32711.0,54.1,76.0,697,1,1,0,1,2011,12,2,4,1,1,1
1,10000.0,36,7.9,312.91,1,1.0,43000.0,1,25.26,0.0,0.0,8.0,8215.0,37.2,76.0,732,1,0,1,1,2011,12,1,6,4,2,2
1,12000.0,36,9.91,386.7,2,1.0,50000.0,1,16.44,0.0,1.0,11.0,14335.0,29.3,76.0,727,1,0,1,1,2011,12,1,1,4,2,2
0,25000.0,60,13.49,575.12,3,10.0,67000.0,1,14.15,0.0,0.0,6.0,15319.0,91.2,76.0,742,2,1,0,3,2011,12,2,8,2,1,2
0,19750.0,36,10.65,643.33,2,4.0,45000.0,1,22.8,0.0,0.0,12.0,16576.0,54.2,76.0,722,1,0,1,3,2011,12,1,9,2,1,2
1,10000.0,36,9.91,322.25,2,3.0,31200.0,1,14.81,0.0,0.0,13.0,5540.0,27.0,76.0,712,1,0,1,2,2011,12,1,10,1,1,1
1,13650.0,36,12.42,456.12,2,4.0,66000.0,1,24.09,0.0,0.0,11.0,8933.0,56.5,76.0,677,1,0,1,3,2011,12,1,2,2,1,2
0,28000.0,60,19.91,312.04,5,10.0,52000.0,1,20.7,0.0,0.0,10.0,29178.0,87.6,76.0,687,1,0,1,3,2011,12,3,12,4,2,2
1,18000.0,36,7.9,563.23,1,10.0,56964.0,1,27.55,0.0,0.0,7.0,17381.0,76.6,76.0,722,1,0,1,2,2011,12,2,2,4,2,2
1,2500.0,36,14.27,85.78,3,7.0,49500.0,1,10.33,0.0,1.0,7.0,9868.0,37.7,76.0,672,1,0,1,2,2011,12,1,11,3,2,1
1,21000.0,60,20.3,559.89,5,10.0,70000.0,1,23.21,0.0,2.0,17.0,12508.0,70.7,76.0,672,1,0,1,3,2011,12,2,12,2,1,2
1,7000.0,36,12.69,234.82,2,0.0,30000.0,1,15.8,0.0,2.0,7.0,15455.0,47.6,76.0,677,1,0,1,2,2011,12,1,8,1,1,1
0,24000.0,36,15.96,843.3,3,8.0,90000.0,2,9.17,0.0,1.0,9.0,30952.0,71.2,76.0,717,1,1,0,2,2011,12,2,6,4,2,2
1,10625.0,36,7.51,330.56,1,5.0,23000.0,4,18.89,0.0,1.0,9.0,7114.0,43.4,76.0,732,1,1,0,1,2011,12,1,2,2,1,2
